iter	Accuracy	MultiClass
178	0.9846567647	0.1023984031
179	0.9850064151	0.1015921847
180	0.9846567647	0.1008000365
181	0.9846567647	0.1007222405
182	0.9846567647	0.1006419695
183	0.9856936945	0.1003526324
184	0.9856936945	0.1003209689
185	0.9864025402	0.09991594515
186	0.9856936945	0.09945090961
187	0.9860528899	0.09894424912
188	0.9864025402	0.09848917543
189	0.9864025402	0.09800594433
190	0.9860528899	0.09757375958
191	0.9863809739	0.09699151903
192	0.9863809739	0.0969590066
193	0.9863809739	0.09687892112
194	0.9863809739	0.0968317359
195	0.9870587082	0.09631344491
196	0.9870587082	0.09586465924
197	0.9870587082	0.09500872148
198	0.9870802746	0.09439485911
199	0.9870802746	0.09388181897
200	0.9870802746	0.09381833403
201	0.9870802746	0.09377017502
202	0.9870802746	0.09345794233
203	0.9870802746	0.09295222838
204	0.9870802746	0.09246811103
205	0.9870802746	0.09237389964
206	0.9870898196	0.09189324184
207	0.9870898196	0.09139432054
208	0.987767554	0.09095581945
209	0.987767554	0.09091237051
210	0.987767554	0.09072840184
211	0.987767554	0.09032750559
212	0.987767554	0.08978045096
213	0.987767554	0.08972797847
214	0.987767554	0.08951735215
215	0.987767554	0.08946343552
216	0.987767554	0.08898439209
217	0.987767554	0.08845699936
218	0.988095638	0.08795306986
219	0.988095638	0.08765987573
220	0.987767554	0.08716388659
221	0.987767554	0.08663147759
222	0.988095638	0.08626948956
223	0.988095638	0.08622085278
224	0.988095638	0.08583105893
225	0.988095638	0.08518189534
226	0.988095638	0.08488747782
227	0.988095638	0.08479334075
228	0.9887733723	0.08443039799
229	0.9887733723	0.08436235542
230	0.9884452883	0.08385532118
231	0.9887733723	0.08350271848
232	0.9887733723	0.08317264605
233	0.9887733723	0.08315244702
234	0.9887733723	0.08244264568
235	0.9887733723	0.08237937654
236	0.9891014563	0.08209836102
237	0.9891014563	0.08188954193
238	0.9894295403	0.0814824158
239	0.9894295403	0.08140229462
240	0.9891014563	0.08101376351
241	0.9894295403	0.08056784109
242	0.9891014563	0.08030635346
243	0.9894295403	0.08000930482
244	0.9894295403	0.07947072655
245	0.9894295403	0.07899871398
246	0.9894295403	0.07884992028
247	0.9894295403	0.07858103831
248	0.9897791907	0.07819756068
249	0.9897791907	0.07796637226
250	0.9901072747	0.07755651414
251	0.9901072747	0.0772301263
252	0.9901072747	0.07709038277
253	0.9901072747	0.07697206752
254	0.9897576243	0.07695614886
255	0.9901072747	0.07662358571
256	0.9897791907	0.07629449864
257	0.9901072747	0.07611783083
258	0.9901072747	0.07601663891
259	0.9897791907	0.07587982559
260	0.9901072747	0.07558216983
261	0.9897791907	0.07525925468
262	0.9897791907	0.07488820709
263	0.9901072747	0.07453937979
264	0.9904353587	0.07422946957
265	0.9904353587	0.07400831155
266	0.9904353587	0.0734556737
267	0.9904353587	0.07342408682
268	0.9904353587	0.07336239748
269	0.9907634427	0.07269168179
270	0.9911226381	0.07264324515
271	0.9911226381	0.07247209157
272	0.9911226381	0.07209367084
273	0.9911226381	0.07206681695
274	0.9911226381	0.07205718343
275	0.9911226381	0.07177506367
276	0.9914507221	0.07174164829
277	0.9911226381	0.07156551733
278	0.9914507221	0.07102023481
279	0.9914507221	0.07074856847
280	0.9914507221	0.07049208113
281	0.9918099175	0.07036104201
282	0.9914507221	0.07023547517
283	0.9918099175	0.07018717174
284	0.9918099175	0.07013249023
285	0.9918099175	0.06961334214
286	0.9918099175	0.06959035106
287	0.9918099175	0.06947583498
288	0.9918099175	0.06916608066
289	0.9918099175	0.06880124014
290	0.9918099175	0.06877931971
291	0.9918099175	0.06840659013
292	0.9918099175	0.0682824121
293	0.9918099175	0.06825722325
294	0.9914818335	0.06793416178
295	0.9918099175	0.06788096775
296	0.9914818335	0.0678096537
297	0.9918099175	0.06758612636
298	0.9918099175	0.06754430272
299	0.9921380015	0.06723950402
300	0.9921380015	0.06721514997
301	0.9921380015	0.06719867652
302	0.9921380015	0.06697178728
303	0.9924876518	0.06654999223
304	0.9924876518	0.06654045373
305	0.9924876518	0.06647891624
306	0.9924876518	0.06645432784
307	0.9924876518	0.06600742175
308	0.9924876518	0.0657978661
309	0.9924876518	0.0657591211
310	0.9928468472	0.06546929893
311	0.9928157358	0.06517982184
312	0.9928157358	0.06506814978
313	0.9928157358	0.06480387284
314	0.9935341266	0.06459212463
315	0.9935341266	0.06436642218
316	0.9935341266	0.06405009016
317	0.9935341266	0.06376254424
318	0.9935341266	0.06349652351
319	0.9935341266	0.0634822359
320	0.9935341266	0.06345261356
321	0.9935341266	0.06321693251
322	0.9935341266	0.06317237573
323	0.9935341266	0.06279964942
324	0.9935341266	0.06272998075
325	0.994211861	0.06247318444
326	0.994211861	0.06245324671
327	0.994211861	0.06228566072
328	0.994211861	0.06201361655
329	0.994211861	0.06199619828
330	0.994211861	0.06170817099
331	0.994539945	0.06146738137
332	0.9952176793	0.06121494628
333	0.9952176793	0.06098603745
334	0.994539945	0.0607309505
335	0.9948895953	0.06071402392
336	0.9948895953	0.0607031989
337	0.9952392457	0.06045516678
338	0.9952392457	0.06028386152
339	0.9952392457	0.06011371221
340	0.9948895953	0.06008304188
341	0.9952392457	0.06003656762
342	0.9948895953	0.05977431763
343	0.9948895953	0.05943330898
344	0.994868029	0.05909692663
345	0.9948895953	0.05891509558
346	0.9948895953	0.0589004581
347	0.9952176793	0.05864638627
348	0.9952176793	0.05860654584
349	0.9952176793	0.05828924075
350	0.9952176793	0.05826428526
351	0.9959265251	0.05792480746
352	0.9955673297	0.05788930066
353	0.9959265251	0.05766764982
354	0.9959265251	0.05738990556
355	0.9959265251	0.0572561921
356	0.9959265251	0.05696679844
357	0.9959265251	0.05681467044
358	0.9962546091	0.05663064716
359	0.9959265251	0.05639000281
360	0.9959265251	0.0561965366
361	0.9959265251	0.05615896351
362	0.9959265251	0.0561401045
